mnemonic, Highest level of qualifications [Census 2011]|No qualifications (percent), Level 1 qualifications (percent), Level 2 qualifications (percent), Apprenticeship (percent), Level 3 qualifications (percent), Level 4 qualifications and above (percent), Other qualifications (percent)
E14000981, 22.8,13.9,16.6,4.2,11.0,26.9,4.6 
E14000995, 26.5,17.9,17.1,3.0,10.7,18.1,6.7 
E14001021, 17.7,13.6,15.4,3.2,11.7,31.6,6.8 
E14001022, 30.1,14.4,16.3,5.5,11.8,17.1,4.8 
E14001027, 17.2,13.0,14.8,3.2,15.9,29.9,5.9 
E14001034, 25.0,14.7,15.9,4.0,10.9,20.2,9.4 
E14001045, 22.7,15.9,17.6,4.1,11.7,23.8,4.1 
E14000540, 27.2,14.8,14.6,1.9,9.1,21.8,10.7 
E14000549, 10.7,6.0,7.8,0.9,8.8,57.4,8.3 
E14000551, 15.6,13.1,16.6,2.7,12.0,35.5,4.5 
E14000553, 15.8,8.7,9.1,1.1,11.2,44.5,9.7 
E14000555, 20.8,9.0,8.7,0.8,11.1,39.6,9.9 
E14000558, 23.8,17.6,17.8,4.0,11.3,20.3,5.1 
E14000591, 20.9,11.2,11.2,1.3,9.9,29.8,15.8 
E14000592, 18.8,10.3,11.0,1.2,9.6,32.9,16.1 
E14000593, 13.8,9.4,10.4,1.4,10.0,42.8,12.2 
E14000604, 19.0,13.4,15.6,2.5,11.2,33.1,5.4 
E14000615, 18.3,10.8,11.8,1.2,10.4,37.6,9.9 
E14000621, 20.1,15.1,16.7,2.9,12.0,27.2,5.9 
E14000629, 10.3,5.8,8.2,0.9,10.2,53.7,10.8 
E14000634, 21.6,13.9,14.9,2.7,11.0,29.4,6.6 
E14000636, 16.0,10.8,13.5,1.9,10.8,39.3,7.8 
E14000639, 10.0,5.7,7.3,0.7,9.8,54.5,12.0 
E14000654, 19.8,14.5,15.4,2.3,11.2,29.6,7.2 
E14000655, 17.8,13.8,14.4,1.6,11.1,30.5,10.7 
E14000656, 15.2,13.1,16.1,2.5,12.1,35.3,5.7 
E14000657, 29.6,16.5,16.3,3.1,9.9,17.6,6.9 
E14000673, 14.2,8.8,10.5,1.2,9.6,47.6,8.2 
E14000674, 11.6,7.0,8.8,1.3,9.5,48.4,13.4 
E14000675, 19.0,11.6,11.9,1.8,9.7,30.4,15.6 
E14000676, 19.4,11.4,10.8,1.2,9.7,30.8,16.7 
E14000679, 20.5,11.9,11.1,1.0,9.7,29.8,16.1 
E14000687, 27.3,14.0,14.1,1.7,10.1,22.3,10.6 
E14000690, 23.5,13.3,14.5,2.8,11.3,27.8,6.8 
E14000691, 24.3,14.5,14.6,2.4,10.6,25.9,7.7 
E14000692, 17.2,10.1,12.6,1.7,10.9,38.2,9.2 
E14000696, 22.4,15.1,15.7,2.6,10.5,24.9,8.8 
E14000701, 21.1,14.3,12.8,1.9,9.5,25.8,14.6 
E14000703, 13.3,7.7,10.3,0.9,9.5,46.5,11.7 
E14000718, 17.8,10.0,11.5,1.2,10.4,40.0,8.9 
E14000720, 20.0,8.8,9.7,0.9,8.8,42.1,9.6 
E14000721, 19.1,9.1,10.5,1.0,9.7,41.5,9.1 
E14000726, 13.6,7.4,8.5,1.2,10.7,47.5,11.1 
E14000727, 11.5,6.3,7.9,0.9,8.6,54.0,10.8 
E14000731, 19.7,11.6,12.9,1.7,10.1,32.7,11.2 
E14000732, 14.7,10.7,12.5,1.6,10.8,38.5,11.1 
E14000737, 22.3,15.5,13.5,2.4,10.1,23.0,13.1 
E14000741, 17.3,10.5,12.5,1.3,10.3,35.2,12.9 
E14000750, 14.7,7.7,8.3,0.9,14.6,45.2,8.7 
E14000751, 26.4,16.5,17.4,3.7,11.3,20.0,4.6 
E14000752, 12.4,7.0,9.3,0.9,9.4,52.0,9.1 
E14000759, 20.4,13.5,14.2,2.1,10.7,30.1,9.0 
E14000760, 18.4,12.1,12.5,1.3,10.2,32.5,13.0 
E14000763, 16.5,8.2,8.6,1.0,9.3,48.8,7.6 
E14000764, 17.4,7.9,8.2,1.0,10.2,47.4,7.9 
E14000768, 10.5,6.0,7.7,0.7,10.2,52.2,12.8 
E14000770, 14.5,10.5,12.7,2.2,13.8,38.6,7.8 
E14000787, 20.1,12.3,13.5,1.7,10.3,34.3,7.8 
E14000788, 17.5,12.1,13.4,1.7,10.5,37.4,7.4 
E14000789, 15.3,9.7,11.3,1.1,11.6,41.6,9.4 
E14000790, 17.5,10.5,11.7,1.4,9.6,36.3,13.0 
E14000823, 20.1,13.0,13.7,2.0,10.6,28.2,12.5 
E14000869, 22.0,16.6,18.1,3.8,12.2,22.6,4.5 
E14000872, 20.0,14.8,17.2,3.4,11.7,28.4,4.5 
E14000882, 19.1,9.6,8.6,1.0,9.1,42.5,10.1 
E14000887, 11.9,6.5,8.6,1.0,10.8,51.6,9.7 
